name,grade,board_angle,moonboard_year,setter,start_holds,middle_holds,end_holds,rules,is_benchmark
LONGLI,6A+,40°,2017,Andreclimbing1.,"E3,H5,","F8,H10,J2,K4,I7,J11,G13,E13,C16,","F18,",Feet follow hands,FALSE
KONFLIKTE,6A+,40°,2017,Andreclimbing1.,"D4,H5,","F8,G13,E13,C16,I7,J11,H10,J2,K4,","F18,",Feet follow hands + screw ons,FALSE
RED ZIPPER,6A+,40°,2017,Michael,"H5,","J16,J14,J11,I7,","J18,",Feet follow hands + screw ons,FALSE
WINNIE THE POOH,6A+,25°,2017,Christy,"G6,K4,","E16,G14,G11,J9,","E18,B18,",Feet follow hands,FALSE
DEEP BLUE SEA,6A+,25°,2017,Christy,"F5,B3,","A17,A14,A11,E11,B8,","E18,",Feet follow hands + screw ons,FALSE
BLUEBERRY PIE,6A+,25°,2017,Christy,"D4,H5,","D9,A11,A16,B14,","E18,",Feet follow hands + screw ons,FALSE
AEPOW CIRCUIT L,6A+,40°,2017,Freddie,"G6,","F10,F13,I8,G14,E14,C13,D9,D16,I11,F11,","K18,",Feet follow hands + screw ons,FALSE
LEFTOVERS,6A+,25°,2017,Christy,"K5,G6,","D9,F13,B14,E17,H8,","B18,",Feet follow hands,FALSE
DZIKI Z FABRYKI FOR CS,6A+,40°,2017,Arkadiusz Dziki-Sereda,"G6,J6,","J9,J2,F12,G13,G14,J16,","H18,",Feet follow hands + screw ons,FALSE
MO MINI,6A+,40°,2017,MomentumClimbingLehi,"G3,C3,","H7,B9,F11,J13,E16,C14,A15,E7,","J18,E18,",Feet follow hands,FALSE
TEO04,6A+,40°,2017,Teo Um,"A6,F4,","C7,A8,E11,C13,C16,A12,","F18,E18,",Feet follow hands + screw ons,FALSE
AUGV3~04,6A+,40°,2017,VC,"D4,E3,","K3,I7,I10,F12,H15,","F18,",Feet follow hands,FALSE
AUGV3~03,6A+,40°,2017,VC,"H5,","A14,C13,D10,A8,G8,D5,","A18,",Feet follow hands,FALSE
AUGV3~02,6A+,40°,2017,VC,"F5,","A3,C7,C10,C13,G14,F17,","H18,",Feet follow hands,FALSE
AUGV3~01,6A+,40°,2017,VC,"A5,","E16,A14,B13,D10,D8,E6,","F18,",Feet follow hands,FALSE
TEO03,6A+,40°,2017,Teo Um,"F5,K4,","I8,E9,D10,G13,D15,C16,","F18,",Feet follow hands,FALSE
TEO02,6A+,40°,2017,Teo Um,"C4,A5,","B8,C10,A11,C13,A14,E16,","D18,",Feet follow hands,FALSE
TEO01,6A+,40°,2017,Teo Um,"A6,F5,","D9,I8,G11,J13,G13,K15,","J18,",Feet follow hands,FALSE
BENCHMARK MARK,6A+,40°,2017,Michael,"B4,E6,","C10,E11,C13,G14,D17,","H18,",Feet follow hands,FALSE
LILY AND BILLY,6A+,40°,2017,Nomnomnom2,"D4,F5,","F8,F9,D10,E13,A14,C16,","B18,",Feet follow hands,FALSE
WEAK LEFT PINCH,6A+,40°,2017,Nate Lun,"C4,F3,","C7,C8,F12,C15,B10,","F18,",Feet follow hands,FALSE
VAWESOME,6A+,40°,2017,MomentumClimbingLehi,"H5,F5,","I7,J9,J11,J14,I13,J16,J17,","J18,",Feet follow hands,FALSE
CONNECT,6A+,40°,2017,Arming,"F5,","I7,H10,K5,J11,G13,K15,","H18,",Feet follow hands + screw ons,FALSE
BAO,6A+,40°,2017,Arming,"F5,","I8,H9,F12,K4,E13,A14,C16,","A18,",Feet follow hands,FALSE
SIDEWALK,6A+,40°,2017,sozza,"A3,A5,","B8,A11,D15,","B18,",Feet follow hands,FALSE
4 DAYS ON WARM UP,6A+,40°,2017,Anthea,"B3,H5,","F8,H10,C13,E13,C16,","A18,C18,",Feet follow hands,FALSE
LISAS,6A+,40°,2017,Skibus,"H5,F6,","F8,G13,E13,H10,D4,","F18,",Feet follow hands,FALSE
SWEATY FLOW,6A+,40°,2017,Matt Desantis,"I4,G6,","F7,B8,B9,A11,A3,E14,C13,H14,","F18,",Feet follow hands,FALSE
JOSHUA WARM UP,6A+,40°,2017,Modjo Escalade,"E6,A5,","B8,E8,D10,E11,C13,E14,C16,","D18,A18,",Feet follow hands,FALSE
WARMUP 0508,6A+,40°,2017,joel,"F5,H5,","I8,H10,F8,F12,E13,C16,D2,","F18,",Feet follow hands + screw ons,FALSE
TOBYMEISTER,6A+,40°,2017,TomH,"D4,I3,","H5,I7,F8,F6,C16,F15,G11,G13,J11,C13,","E18,B18,",Feet follow hands,FALSE
RED SUNSHINE,6A+,40°,2017,K.O.,"H5,E3,","I3,F8,I10,E13,I15,E16,","J18,",Feet follow hands,FALSE
SHE CAN EASILY DO IT,6A+,40°,2017,Nomnomnom2,"F5,D5,","H10,F8,F12,E13,F15,E16,","F18,",Feet follow hands,FALSE
SHE CAN DO IT,6A+,40°,2017,Nomnomnom2,"D5,F5,","F12,E13,H10,G14,F8,","F18,",Feet follow hands,FALSE
EDAMAMÍ,6A+,40°,2017,Zach Taylor,"E4,H5,","F8,D10,G13,A6,E16,","F18,",Feet follow hands,FALSE
AK 14,6A+,40°,2017,Andriy Kolos,"H5,","D2,H10,G13,D15,E17,","B18,",Feet follow hands,FALSE
PIECE OF CAKE,6A+,40°,2017,David,"D4,H5,","I7,E9,H10,E13,","F18,",Feet follow hands,FALSE
J DUDE 13,6A+,40°,2017,Movement Crew,"F5,H5,","F8,J3,J11,J13,K5,J16,J9,K15,H8,H10,J6,","H18,",Feet follow hands,FALSE
SILS BEGINNER,6A+,40°,2017,Jonathan Hale,"F5,","D8,D10,F12,E13,C13,D15,C16,A17,F8,","B18,",Footless + kickboard,FALSE
KRZYK SKALY,6A+,40°,2017,Artur,"A4,D4,","E7,F8,D12,F15,E16,B6,E13,","F18,H18,",Feet follow hands + screw ons,FALSE
4 SSOSSO_.P,6A+,40°,2017,ssell,"F5,H5,","F8,D10,E13,C13,C16,I8,H10,","A18,",Feet follow hands,FALSE
GUPPIES IN A POD,6A+,40°,2017,Birdy,"I3,F5,","I8,H10,E13,E16,C16,","B18,",Feet follow hands,FALSE
OVER \u0026 UP,6A+,40°,2017,Pok,"F5,I4,","E8,C10,B13,D15,E12,","B18,",Feet follow hands + screw ons,FALSE
JJHJJJH,6A+,40°,2017,MomentumClimbingLehi,"H5,F6,","H8,I8,J11,G12,I15,","H18,",Feet follow hands + screw ons,FALSE
DDDDDDD,6A+,40°,2017,MomentumClimbingLehi,"K4,H5,","K8,H9,J11,H13,I16,","H18,",Feet follow hands + screw ons,FALSE
